優先度,展開区分,都道府県,地域,会社名,業種,主力事業/商品,本社所在地,従業員数,売上規模,地元影響度,地元影響度の理由,AI研修ニーズ仮説,刺さる切り口,アプローチ先仮説,紹介経路仮説,初回メール切り口,公式URL,情報ソースURL,メモ
A,静岡ドミナント,静岡県,浜松市,スズキ株式会社,自動車・二輪製造,軽自動車・二輪車・船外機,浜松市中央区高塚町,約16000名(単体),約5兆円(連結),中,浜松経済の中核。創業家・鈴木家の地域影響力大、上場大手だが浜松ブランドの象徴で県内サプライヤー網への波及力極大,営業企画・人事・購買・知財・広報の生成AI研修、グローバル翻訳、社内ナレッジ検索,Tier1〜2サプライヤー巻き込み型のAI教育プログラム、間接部門生産性向上,人事部・経営企画部・浜松地区サプライヤー企画部,浜松商工会議所、静岡銀行、SBS,「静岡県内大手で進む生成AI活用」事例として導入要点をご共有,https://www.suzuki.co.jp/,https://www.suzuki.co.jp/about/,浜松の象徴。直接決裁は重いがサプライヤー網への影響大
A,静岡ドミナント,静岡県,磐田市,ヤマハ発動機株式会社,輸送用機器,二輪車・船外機・産業用ロボット,磐田市新貝,約11000名(単体),約2兆4000億円(連結),中,磐田の経済中核。地元雇用・スポーツ・地域ブランドの象徴,グローバル翻訳・営業資料・社内ナレッジ・知財業務のAI活用,「製造業×AI研修」のリファレンス顧客化,人事部・経営企画・DX推進部,磐田商工会議所、静岡銀行,グローバル製造業の生成AI現場活用ご紹介,https://global.yamaha-motor.com/jp/,https://global.yamaha-motor.com/jp/about/,磐田象徴企業
A,静岡ドミナント,静岡県,浜松市,ヤマハ株式会社,楽器・音響機器,ピアノ・電子楽器・音響機器,浜松市中央区中沢町,約7000名(単体),約4500億円(連結),中,浜松の楽器産業発祥・象徴。創業地ブランド,海外ローカライズ・カスタマーサポート・販促・人事AI,グローバルブランドのコンテンツ生成AI活用,広報・人事・販促部・カスタマーサクセス,浜松商工会議所、SBS,グローバル消費財ブランドのAIコンテンツ事例,https://www.yamaha.com/ja/,https://www.yamaha.com/ja/about/,浜松象徴
A,静岡ドミナント,静岡県,浜松市,株式会社河合楽器製作所,楽器・音響,ピアノ・電子ピアノ,浜松市中央区寺島町,約2500名(単体),約700億円,中,浜松ピアノ二大ブランドの一翼。創業家・河合家,販促・カスタマーサポート・人事・採用のAI活用,楽器メーカーのデジタル接客×AI,販促部・人事部,浜松商工会議所、静岡銀行,音楽×AIの顧客接点強化提案,https://www.kawai.co.jp/,https://www.kawai.co.jp/company/,浜松象徴
A,静岡ドミナント,静岡県,浜松市,浜松ホトニクス株式会社,光技術・電子,光半導体・産業/医療用光源,浜松市中央区市野町,約5500名(連結),約2400億円,中,浜松の研究開発拠点の象徴。創業家・晝馬家,研究開発の文献解析・特許AI・社内ナレッジ検索・英文業務AI,「研究開発×生成AI」のR&D生産性向上提案,研究開発企画・知財部・人事部,浜松商工会議所、静岡銀行,R&D×生成AIの先進事例ご紹介,https://www.hamamatsu.com/jp/ja.html,https://www.hamamatsu.com/jp/ja/our-company.html,研究開発色強い豪族
A,静岡ドミナント,静岡県,静岡市,スター精密株式会社,精密機械,POSプリンタ・自動旋盤・精密部品,静岡市駿河区中吉田,約1900名(連結),約700億円,中,静岡の精密機械中堅。海外売上比率高い,英文ドキュメント・営業資料・カスタマーサポートAI,「海外売上比率の高い静岡製造業×AI」事例化,営業本部・人事・経営企画,静岡商工会議所、静岡銀行,海外向け技術ドキュメントのAI生成事例,https://www.star-m.jp/,https://www.star-m.jp/corp/,静岡市の有力中堅
A,静岡ドミナント,静岡県,富士市,ジヤトコ株式会社,自動車部品,オートマチックトランスミッション(CVT),富士市今泉,約8000名,約4000億円,低,日産系列で意思決定本社依存。ただし富士の雇用中核,品証文書・技術文書・教育コンテンツのAI生成,グローバル製造業現場のAI教育パッケージ,人事・教育・品証部門,富士商工会議所、静岡銀行,製造業現場社員向け生成AIリテラシー研修提案,https://www.jatco.co.jp/,https://www.jatco.co.jp/about/,日産系列のため直接決裁は弱い
A,静岡ドミナント,静岡県,浜松市,株式会社エフ・シー・シー,自動車部品,二輪・四輪用クラッチ,浜松市浜名区,約9000名(連結),約1500億円,中,浜松発の上場部品メーカー、海外売上比率高い,英文業務・営業資料・品証文書AI、人事採用AI,浜松Tier1のAI内製化支援,人事・営業企画・経営企画,浜松商工会議所、静岡銀行,グローバル部品メーカーのAI活用事例,https://www.fcc-net.co.jp/,https://www.fcc-net.co.jp/company/,浜松Tier1の代表
A,静岡ドミナント,静岡県,浜松市,株式会社エンシュウ,工作機械・自動車部品,工作機械・自動車部品,浜松市中央区高塚町,約700名,約400億円,中,浜松の老舗工作機械メーカー。スズキ系の歴史,営業見積・技術資料・採用のAI支援,工作機械×AIで競争力強化,営業本部・経営企画・人事,浜松商工会議所、静岡銀行,工作機械×AIの提案資料生成事例,https://www.enshu.co.jp/,要確認,浜松機械
A,静岡ドミナント,静岡県,富士市,富士工業株式会社,住宅設備機器,レンジフード(国内シェア最大級),富士市瓜島町,約700名(単体),不明,高,富士発のニッチトップメーカー。創業家系で創業地ブランド,EC・カスタマーサポート・営業・採用のAI活用,ニッチトップB2BのAI営業強化,営業・販促・人事部,富士商工会議所、静岡銀行,富士発の隠れた優良メーカー向けAI活用提案,https://www.fujioh.com/,要確認,富士市の代表
A,静岡ドミナント,静岡県,富士宮市,日本プラスト株式会社,自動車部品,エアバッグ・ステアリングホイール・内装,富士宮市山宮,約4500名(連結),約800億円,中,富士宮の上場部品メーカー,品証文書・教育・採用のAI活用,製造業現場×生成AI研修,人事・教育・品証,富士宮商工会議所、静岡銀行,部品メーカーAI研修プログラム提案,https://www.nipp.co.jp/,https://www.nipp.co.jp/company/,富士宮代表
A,静岡ドミナント,静岡県,静岡市,株式会社静甲,包装機械・産業機械,包装機械・酒類充填機,静岡市清水区天王西,約350名,不明,高,清水の老舗包装機械メーカー。BtoB志向,営業見積・カスタマーサポート・採用AI,BtoB機械商社的AIの活用,営業本部・経営企画,清水商工会議所、静岡銀行,BtoB機械メーカーのAI活用提案,https://www.seiko-net.co.jp/,要確認,清水機械中堅
A,静岡ドミナント,静岡県,静岡市,鈴与株式会社,総合物流・商社,港湾・物流・燃料・食品・航空(FDA),静岡市清水区入船町,約13000名(グループ),約5000億円(グループ),高,清水経済の象徴。鈴木家の創業家経営、地元政財界の中心,グループ全体の社内AI活用、営業・人事・経理・物流現場のAI,グループ全体のAI内製化支援、子会社展開,経営企画・DX推進・人事部,清水商工会議所、静岡銀行、SBS,清水発・グループ横断のAI内製化事例提案,https://www.suzuyo.co.jp/,https://www.suzuyo.co.jp/company/,清水豪族の代表格
A,静岡ドミナント,静岡県,静岡市,株式会社TOKAIホールディングス,エネルギー・通信・住生活,LPガス・都市ガス・CATV・宅配水,静岡市葵区常磐町,約5500名(連結),約2200億円,中,静岡発の上場エネルギー大手。地域インフラの中核,コールセンター・営業・販促・人事のAI活用,地域インフラ事業者のAI顧客対応強化,DX推進部・コールセンター・人事部,静岡商工会議所、静岡銀行,地域インフラ×AI顧客接点の事例提案,https://www.tokaiholdings.co.jp/,https://www.tokaiholdings.co.jp/company/,静岡市の中核
A,静岡ドミナント,静岡県,浜松市,浜松倉庫株式会社,物流・倉庫,営業倉庫・3PL,浜松市中央区,約300名,不明,高,浜松物流の中堅。地元荷主との関係深い,営業・WMS連携文書・採用AI,物流中堅のAI業務効率化,営業本部・経営企画,浜松商工会議所,物流×AIの業務効率化提案,要確認,要確認,要確認: 公式URL要照合
A,静岡ドミナント,静岡県,静岡市,株式会社静岡銀行,地方銀行,法人融資・個人金融,静岡市葵区呉服町,約2700名,経常収益約1700億円,中,静岡県内最大の地銀。県内ほぼ全企業との取引,行員向けAIリテラシー研修、法人営業向けAI提案資料,「地銀×AI」連携モデルで取引先紹介経路化,人事部・法人営業推進・DX推進,静岡県・静岡県内産業界,地銀の取引先AI支援パッケージ共同提案,https://www.shizuokabank.co.jp/,https://www.shizuokabank.co.jp/company/,紹介経路化の最重要候補
A,静岡ドミナント,静岡県,沼津市,スルガ銀行株式会社,地方銀行,個人ローン・法人金融,沼津市通横町,約1500名,経常収益約700億円,中,沼津発の地銀。県東部の経済中核,行員AIリテラシー研修、コンプラ・与信文書AI,「地銀再生×AI」連携提案,人事部・DX推進,沼津商工会議所,地銀の業務AI化事例ご紹介,https://www.surugabank.co.jp/,https://www.surugabank.co.jp/surugabank/,東部地銀
A,静岡ドミナント,静岡県,静岡市,株式会社清水銀行,地方銀行,法人融資・個人金融,静岡市清水区富士見町,約800名,経常収益約200億円,中,清水・東部に強い地銀。鈴与グループ等地元中堅の主取引銀行,行員AI研修・法人営業向けAI,清水経済圏での企業紹介経路化,人事部・法人営業,清水商工会議所、鈴与グループ,清水経済圏×AIの取引先支援パッケージ,https://www.shimizubank.co.jp/,https://www.shimizubank.co.jp/company/,清水拠点の地銀
A,静岡ドミナント,静岡県,浜松市,浜松いわた信用金庫,信用金庫,中小企業金融,浜松市中央区,約1300名,不明,高,浜松・磐田地域の中小企業に最も密着する信金,職員AI研修・取引先AI支援セミナー,信金×AIで地域中小企業のDX伴走モデル化,理事長・人事部・地域連携室,浜松商工会議所、JC,信金の取引先支援AIプログラムご提案,https://www.hamamatsuiwata-shinkin.jp/,要確認,中小紹介経路の本命
A,静岡ドミナント,静岡県,焼津市,しずおか焼津信用金庫,信用金庫,中小企業金融,静岡市葵区呉服町,約1200名,不明,高,静岡中部の中小企業に密着,信金職員AI研修・地域企業向けAIセミナー,中小取引先紹介経路化,理事長・地域連携・人事部,静岡・焼津商工会議所,中小企業向けAI伴走モデル提案,https://www.shizuoka-yaizu-shinkin.co.jp/,要確認,要確認: 名称・URL照合
A,静岡ドミナント,静岡県,静岡市,株式会社静岡新聞社・静岡放送(SBS),メディア,新聞・テレビ・ラジオ・イベント,静岡市駿河区登呂,約1300名(連結),不明,高,静岡県を代表する地元メディア。県内政財界との関係極めて強い,記事執筆補助・編成・営業・採用のAI活用、地域企業向けAI啓発番組,「地元メディア×AI」共同セミナー・記事連携,コンテンツ局・営業局・経営企画,静岡県政財界、商工会議所,共同セミナー・地域企業AI事例特集の提案,https://www.at-s.com/,https://www.shizuokaonline.com/company.html,認知獲得・紹介経路の中核
A,静岡ドミナント,静岡県,浜松市,遠州鉄道株式会社,鉄道・流通・不動産,鉄道・バス・百貨店・住宅・自動車販売,浜松市中央区旭町,約1800名(単体),約1300億円(グループ),高,浜松経済圏「遠鉄グループ」の中核。創業家・斉藤家,グループ全社のAI内製化、駅・店舗オペレーションAI,「地域鉄道グループ×AI」のリファレンス化,経営企画・DX推進・人事部,浜松商工会議所、地元金融機関,遠鉄グループ全社AI研修プログラム提案,https://www.entetsu.co.jp/,https://www.entetsu.co.jp/corporate/,浜松経済圏の中核
A,静岡ドミナント,静岡県,静岡市,静岡鉄道株式会社,鉄道・流通・不動産,鉄道・バス・流通(しずてつストア)・不動産,静岡市葵区鷹匠,約1900名(単体),約1300億円(グループ),高,静岡経済圏「静鉄グループ」の中核,グループ全社AI内製化、店舗オペレーション・採用AI,「静鉄グループ×AI」のリファレンス化,経営企画・DX推進・人事部,静岡商工会議所、地元金融機関,静鉄グループ全社AI研修プログラム提案,https://www.shizutetsu.co.jp/,https://www.shizutetsu.co.jp/corporate/,静岡経済圏の中核
A,静岡ドミナント,静岡県,榛原郡川根本町,大井川鐵道株式会社,観光鉄道・観光,SL列車・観光事業,榛原郡川根本町,約100名,不明,高,川根の観光・地域経済の象徴,観光企画・多言語コンテンツ・SNS・運行情報AI,観光鉄道×AIインバウンド多言語化,代表・営業・販促,川根本町・島田商工会議所,観光×AIのインバウンド事例提案,https://daitetsu.jp/,要確認,観光鉄道地域代表
A,静岡ドミナント,静岡県,三島市,伊豆箱根鉄道株式会社,鉄道・観光・運輸,駿豆線・バス・観光船,三島市大場,約700名,約180億円,中,伊豆東部の鉄道・観光中核,観光・カスタマーサポート・販促のAI活用,伊豆観光×AIのインバウンド多言語化,営業・販促・経営企画,三島商工会議所、地元自治体,伊豆×AIインバウンド販促提案,https://www.izuhakone.co.jp/,https://www.izuhakone.co.jp/corporate/,伊豆東部観光の中核
A,静岡ドミナント,静岡県,浜松市,株式会社遠鉄百貨店,百貨店,百貨店業,浜松市中央区砂山町,約600名,約300億円,高,浜松随一の百貨店。遠鉄グループの顔,販促・接客・採用のAI活用、外商向けAI提案,百貨店外商×AIの提案資料DX,販促部・外商部・人事部,浜松商工会議所、地銀,百貨店外商×AI提案,https://www.entetsu-dept.co.jp/,要確認,浜松象徴
A,静岡ドミナント,静岡県,浜松市,株式会社杏林堂薬局,ドラッグストア,調剤・OTC・食品スーパー併売,浜松市中央区,約3500名,約900億円,高,静岡西部のドラッグストア最大手。創業家系で地元ブランド,販促・店舗運営・人事・採用のAI活用,小売チェーン×AIの店舗運営DX,販促部・人事部・店舗運営本部,浜松商工会議所、地銀,ドラッグストア×AI店舗運営提案,https://www.kyorindo.co.jp/,要確認,静岡西部代表
A,静岡ドミナント,静岡県,藤枝市,株式会社田子重,食品スーパー,食品スーパー(中部静岡),藤枝市,約1500名,不明,高,藤枝・志太地域の食品スーパー最大手。地元密着,販促・採用・店舗運営のAI活用、惣菜開発AI,地域食品スーパー×AIのDX,販促部・人事部,藤枝商工会議所、地銀,地域スーパー×AIの店舗DX提案,https://www.tagoju.co.jp/,要確認,中部静岡代表
A,静岡ドミナント,静岡県,富士市,株式会社マム,食品スーパー,食品スーパー・ディスカウント,富士市,約1500名,不明,高,東部静岡の地域スーパー,販促・店舗運営・採用のAI活用,地域スーパー×AIの店舗DX,販促部・人事部,富士商工会議所、地銀,地域スーパー×AIの店舗DX提案,要確認,要確認,要確認: 公式URL照合
A,静岡ドミナント,静岡県,静岡市,株式会社静鉄ストア(しずてつストア),食品スーパー,食品スーパー,静岡市駿河区,約2500名,約500億円,高,静岡鉄道グループの食品スーパー,販促・店舗運営・採用AI,スーパー×AIの店舗DX,販促部・人事部,静岡商工会議所、地銀,スーパー×AIの店舗DX,https://www.shizutetsu-store.co.jp/,要確認,静鉄グループ
A,静岡ドミナント,静岡県,富士市,株式会社マキヤ,小売・卸,業務スーパー・ディスカウント,富士市,約1700名(連結),約500億円,高,東部静岡の小売中堅。上場,販促・店舗運営・採用・人事AI,小売中堅×AI店舗DX,販促部・人事部,富士商工会議所、地銀,小売中堅×AIのDX提案,https://www.makiya.com/,要確認,東部静岡上場
A,静岡ドミナント,静岡県,沼津市,株式会社平成建設,建設・住宅,木造建築・大工育成,沼津市岡宮,約800名,約200億円,高,沼津発・全国注目の建設業。大卒大工採用で有名な秋元代表,人事・採用・教育コンテンツのAI、設計支援AI,建設業×AIの教育・採用DX,人事部・経営企画,沼津商工会議所、地銀,建設業×AI教育・採用支援の事例提案,https://heiseikensetu.co.jp/,https://heiseikensetu.co.jp/company/,沼津代表豪族
A,静岡ドミナント,静岡県,静岡市,木内建設株式会社,建設,土木・建築,静岡市葵区,約400名,約200億円,高,静岡の老舗ゼネコン(明治期創業),営業・見積・採用・人事のAI活用,中堅ゼネコン×AIのDX,経営企画・人事・営業,静岡商工会議所、静岡銀行,中堅ゼネコン×AI業務効率化提案,https://www.kiuchi.co.jp/,要確認,静岡老舗ゼネコン
A,静岡ドミナント,静岡県,三島市,株式会社加和太建設,建設・地域活性,土木・建築・地域プロジェクト,三島市,約350名,不明,高,三島の中堅建設。地域活性プロジェクト「みしまプラザホテル」等で全国的に有名,人事・採用・広報・地域活性プロジェクトのAI活用,「地域活性×AI」の先進事例化,経営企画・人事・地域事業部,三島商工会議所、地銀、内閣府地方創生,地域活性×AIのモデルケース提案,https://www.kawata-net.com/,要確認,三島地域活性
A,静岡ドミナント,静岡県,浜松市,社会福祉法人聖隷福祉事業団,医療・介護・福祉,病院・介護施設・保育・福祉,浜松市中央区住吉,約16000名,約1700億円,高,浜松発・国内最大級の社会福祉法人。医療介護の地域中核,医事文書・看護記録・採用・教育・コールセンターのAI活用,「医療介護×生成AI」のリファレンス化,経営企画・人事教育・情報システム,浜松商工会議所、聖隷ネットワーク,医療介護×AIの大規模リファレンス事例提案,https://www.seirei.or.jp/,https://www.seirei.or.jp/zaidan/,浜松最大級
A,静岡ドミナント,静岡県,静岡市,静岡県厚生農業協同組合連合会(JA静岡厚生連),医療,病院群,静岡市駿河区曲金,約3000名,約500億円,高,JA静岡系の医療法人連合。県内多拠点,医療事務・看護記録・採用・教育AI,「医療×AI」の地域モデル化,経営企画・人事・情報システム,静岡県農協、自治体,医療×AIの地域連携モデル提案,https://www.shizuoka-koseiren.or.jp/,要確認,JA系医療
A,静岡ドミナント,静岡県,静岡市,静岡県農業協同組合中央会・JA静岡経済連,農業・食品流通,農協統括・農産物流通,静岡市駿河区曲金,約1500名,流通額数千億円,高,県内農業の中核組織。茶・みかん・農産物流通を統括,農産物販促・営農指導・採用・教育のAI活用,「JA×AI」の県全域モデル化,JA中央会・経済連 経営企画,静岡県、商工会議所,JA×AIで県内農業の生産性向上提案,要確認,要確認,要確認: 法人区分の正式名要照合
A,静岡ドミナント,静岡県,御殿場市,株式会社時之栖,リゾート・観光・食品,御殿場高原リゾート・ビール・ハム,御殿場市神山,約1500名,約200億円,高,御殿場高原リゾートの中核企業。観光・食品の地域ブランド,販促・観光・EC・採用・人事のAI活用,リゾート×AIインバウンド観光販促,販促部・人事部・経営企画,御殿場商工会議所、地銀,御殿場×AI観光販促事例提案,https://www.tokinosumika.com/,https://www.tokinosumika.com/company/,御殿場代表
A,静岡ドミナント,静岡県,浜松市,株式会社くれたけホールディングス,ホテル,ビジネスホテルチェーン(くれたけイン),浜松市中央区,約500名,約100億円,高,浜松発・全国展開のビジネスホテル,販促・予約・カスタマーサポート・採用AI,「地方発ホテル×AI」のリファレンス化,販促部・予約センター・人事部,浜松商工会議所、地銀,ホテル×AI顧客接点強化提案,https://www.kuretake-inn.com/,要確認,浜松発ホテル
A,静岡ドミナント,静岡県,熱海市,株式会社ホテルニューアカオ,旅館・ホテル,熱海大型温泉ホテル,熱海市,約500名,不明,高,熱海観光の象徴的ホテル,販促・予約・多言語接客・採用AI,熱海観光×AIインバウンド,販促・予約・人事部,熱海商工会議所、地銀,熱海×AIインバウンド提案,https://www.newakao.co.jp/,要確認,熱海代表
A,静岡ドミナント,静岡県,伊東市,大東館,旅館,伊東温泉旅館,伊東市,約100名,不明,高,伊東温泉の老舗,販促・多言語接客・予約・採用AI,伊豆観光×AI,代表・販促,伊東商工会議所,伊豆温泉×AI提案,要確認,要確認,要確認
A,静岡ドミナント,静岡県,静岡市,はごろもフーズ株式会社,食品(水産・缶詰),シーチキン・缶詰・パスタソース,静岡市清水区島崎町,約1100名,約900億円,中,清水を象徴する食品大手。創業家後藤家、上場大手寄りだが地元色強い,販促・人事・購買・商品開発のAI活用,「シーチキン」販促DX・社内AI研修,販促部・経営企画・人事部,清水商工会議所、静岡銀行,清水代表企業向けAI研修事例提案,https://www.hagoromofoods.co.jp/,https://www.hagoromofoods.co.jp/company/,清水代表
A,静岡ドミナント,静岡県,浜松市,株式会社春華堂,食品(菓子),うなぎパイ・観光体験施設,浜松市中央区東美薗,約400名,約60億円,高,「うなぎパイ」の浜松ブランド。創業家経営、観光・地域経済との連動強い,販促・観光・採用・カスタマーサポートのAI活用,うなぎパイ×AIの観光・販促DX,販促部・観光事業部・人事部,浜松商工会議所、地銀,浜松ブランド×AI観光販促提案,https://www.shunkado.co.jp/,https://www.shunkado.co.jp/company/,浜松代表豪族
A,静岡ドミナント,静岡県,浜松市,株式会社ヤタロー,食品(菓子・パン),治一郎バウムクーヘン・業務用パン,浜松市中央区有玉南町,約700名,約100億円,高,「治一郎」ブランド。業務用パン強く地元雇用大,販促・EC・人事・営業のAI活用,治一郎ブランドのEC・販促AI支援,販促部・EC部・人事部・営業部,浜松商工会議所、静岡銀行,浜松ブランド×AI事例提案,https://www.yatarou.co.jp/,https://www.yatarou.co.jp/corporate/,浜松代表豪族
A,静岡ドミナント,静岡県,浜松市,株式会社三立製菓,食品(菓子),源氏パイ・カンパン・かにぱん,浜松市中央区中央,約300名,約100億円,高,大正期創業の浜松老舗菓子。ロングセラー多数,販促・SNS・新商品開発・採用AI,ロングセラーブランドのAIリブランディング,販促部・商品開発部・人事部,浜松商工会議所、地銀,浜松老舗×AI販促提案,https://www.sanritsuseika.co.jp/,https://www.sanritsuseika.co.jp/company/,浜松老舗
A,静岡ドミナント,静岡県,静岡市,株式会社田丸屋本店,食品(調味料・わさび),わさび漬・生わさび,静岡市葵区,約100名,不明,高,明治期創業のわさび老舗。観光土産・贈答の地域ブランド,販促・EC・観光・採用AI、輸出英語AI,わさび×AI多言語販促・採用支援,代表・販促部・営業部,静岡商工会議所、JETRO静岡,静岡代表ブランド×AI多言語提案,https://www.tamaruya.co.jp/,https://www.tamaruya.co.jp/company/,静岡代表
A,静岡ドミナント,静岡県,浜松市,株式会社知久屋,食品(惣菜・弁当),健康弁当・惣菜,浜松市中央区,約600名,約40億円,高,健康志向弁当の浜松地域チェーン,販促・人事・採用・店舗運営AI,健康志向ブランド×AIの販促・採用DX,代表・販促部・人事部,浜松商工会議所、地銀,健康弁当チェーン×AI提案,https://www.chikuya.co.jp/,要確認,浜松地域チェーン
A,静岡ドミナント,静岡県,浜松市,株式会社丸八ホールディングス(丸八真綿),寝具・健康関連,布団・寝具・健康関連商品,浜松市中央区篠ヶ瀬町,約2000名(グループ),約400億円,高,浜松発・国内布団販売最大級。地域雇用大,販促・カスタマーサポート・営業・採用AI,訪問販売・店舗×AIのトークスクリプト生成,販促部・営業部・人事部,浜松商工会議所、地銀,訪問販売チェーン×AI事例提案,https://www.maruhachi.co.jp/,要確認,浜松地域企業
A,静岡ドミナント,静岡県,焼津市,焼津水産化学工業株式会社,食品(調味料原料),水産・畜産エキス・調味料原料,焼津市小川新町,約400名,約200億円,中,焼津水産加工クラスタの中核。BtoB志向,研究開発・営業資料・品証文書のAI活用,「水産加工原料BtoB×AI」事例化,営業本部・研究開発部・経営企画,焼津商工会議所、静岡銀行,BtoB食品原料×AI提案,https://www.yaizu.com/,https://www.yaizu.com/company/,焼津水産クラスタ中核
A,静岡ドミナント,静岡県,沼津市,株式会社桃中軒,食品(駅弁・弁当),駅弁・仕出し・惣菜,沼津市,約200名,不明,高,沼津駅弁の老舗。鉄道・観光と一体,販促・観光連動・受発注AI、人事AI,駅弁×AIの観光連動販促,代表・営業・販促,沼津商工会議所、JR系,駅弁×AIインバウンド提案,https://www.tochuken.co.jp/,要確認,沼津駅弁
A,全国食品豪族,北海道,帯広市,有限会社六花亭製菓,菓子,マルセイバターサンド・ストロベリーチョコ,帯広市西2条南9丁目,約1500名,約200億円,高,十勝・帯広の代表企業。創業家小田家、地域文化への貢献大,販促・観光・採用・店舗運営・新商品開発のAI活用,十勝ブランド×AIの観光販促・採用,代表・販促部・人事部,帯広商工会議所、北海道銀行,十勝代表×AIブランド発信提案,https://www.rokkatei.co.jp/,https://www.rokkatei.co.jp/company/,北海道豪族代表
A,全国食品豪族,北海道,札幌市,石屋製菓株式会社,菓子,白い恋人・美冬,札幌市西区宮の沢,約700名,約180億円,高,北海道土産の代表。石水家経営,販促・観光・EC・人事・海外英語AI,白い恋人×AIインバウンド多言語化,販促部・経営企画・人事部,札幌商工会議所、北海道銀行,北海道土産×AI多言語提案,https://www.ishiya.co.jp/,https://www.ishiya.co.jp/company/,北海道豪族代表
