エリア,業種・種別,店名,口コミ,既存website,place_id
大宮東口,美容,Nail Salon Charme 大宮店（ ネイルサロン,0,,ChIJLe73lGLBGGAR3uW4c8NvAAo
大宮東口,美容,clair-nail salon-,0,,ChIJUdqSAiHBGGARRslxJGKGZI4
大宮東口,美容,B•U Nail Salon大宮,0,,ChIJe0l-FDDBGGARybeMPH6tmc4
大宮東口,美容,Lia nail 大宮,0,,ChIJbfnfau7BGGARmASzG_QP6BI
大宮東口,美容,Nail Salon 1102,0,,ChIJXR_8hsrBGGAR2bxzfkElSIA
大宮東口,美容,【LED/マツエク】FEEL LASH 大宮西口店,0,,ChIJVW2JGVrBGGARwRfIESBwELs
大宮東口,美容,nail salon モカ,1,,ChIJjeRhvUTBGGAR2UyAZcCDSg0
大宮東口,美容,【ＣＯＣＯ oomiya】まつげパーマ マツエク 眉毛,1,,ChIJCU8WzHjBGGARZE5dzS7F5A8
大宮東口,美容,EYE IRO東口店,1,,ChIJcRoPlXfBGGARVo0MOZ3mkeU
大宮東口,美容,INFINI∞nail salon,1,,ChIJ6T9QU_rBGGARxrQrW-tgG-4
大宮東口,美容,まつげ・ネイルサロン ミニオン大宮店,1,,ChIJ04u_mE7BGGARTQzjhlG61lQ
大宮東口,美容,Best Lumi Nail大宮店,2,,ChIJ1ZGk7E_BGGAR8iIsj01RDTA
大宮東口,美容,ネイルサロン_sen【セン】大宮,2,,ChIJE9V8BwjBGGARdBeT692FOjo
大宮東口,美容,na kui hauoli,2,,ChIJ6XSPP-fBGGARV9U522Z3-68
大宮東口,美容,ハッピービューティー 大宮店,2,,ChIJOdeewEDBGGARM51_3l0PcB4
大宮東口,美容,eyelashsalon me. 大宮一の宮通り店,2,,ChIJSa2yhq_BGGARzs8j5QdRpCU
大宮東口,美容,eyelashsalon me. 大宮ラクーン店,2,,ChIJHylxa-DBGGARvZ4HeiZ4JNA
大宮東口,美容,ネイルサロン メイリー,3,,ChIJmeJTHQDBGGAR3WLYXE_xdsQ
大宮東口,美容,R BEAUTY SALON SUPERB eyelash,3,,ChIJE-Km9xjBGGARp4lfcQQ-MZc
大宮東口,美容,Élle 【エル】 Eyelash &Eyebrow【まつげ,3,,ChIJ_-VSgMvBGGARPeDCS8RseXU
大宮東口,美容,マツエクまつ毛パーマアイブロウLa Blanche大宮東口店,3,,ChIJl6xxIOnBGGARpCjxAI7ojyE
大宮東口,美容,ネイルサロンHalo,4,,ChIJYZhmlCfBGGAR98-fu9KKdQc
大宮東口,美容,Aloha Luana HIKAWASANDOU【アロハ ル,4,,ChIJMybID2DBGGARTogZkfwQzco
大宮東口,美容,nail atelier écru,5,,ChIJZZvjJhzBGGAReIdZNeLPlas
大宮東口,美容,BeckyLash Tokyo大宮西口店,5,,ChIJ-zeo9UjBGGARQp9OnDsM-eA
大宮東口,美容,More Glam Nailsalon大宮店,6,,ChIJ674_lNrBGGAROl87WNTrcUM
大宮東口,美容,【salon de Tiara】フィルイン推薦大宮プライベー,6,,ChIJBXrmxEXBGGARRUkbJhwJdew
大宮東口,美容,DELICO eye（デリコアイ）,6,,ChIJneGLRADBGGAREzuA7uYVjMI
