種別,都道府県,名称,住所,メールアドレス,電話番号,公式サイトURL,問い合わせフォームURL,情報取得元URL,営業優先度,送信方法,送信ステータス,初回送信日,返信有無,次回対応日,担当者,提案角度,備考,宛名,件名,送信用本文
JC,北海道,余市青年会議所,,yoichi41jc@gmail.com,0135-23-5714,http://www.age.ac/~yoichijc/,,http://www.age.ac/~yoichijc/,B,メール,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,余市青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"余市青年会議所 ご担当者様

突然のご連絡を失礼いたします。
株式会社AIスキル、法人研修事業担当の河野 邦彦と申します。

このたびは、貴青年会議所の会員様・地域の若手経営者の皆さま向けに「無料AI活用セミナー」の共催についてご相談させていただきたく、ご連絡いたしました。

弊社では、生成AI・ChatGPTの正しい活用を全国の中小企業へ広げることを目的として、地域団体様と連携した無料セミナー開催を進めております。費用のご負担なく、若手経営者への新しい学びの機会として、また地域企業支援・次世代リーダー向けの実践的コンテンツとしてご活用いただける内容です。

弊社が運営するAIスキルアカデミーは、九州工業大学 生命体工学研究科 人間知能システム工学専攻にてAI研究を行う鈴木章央先生にコンテンツを監修いただいており、現在16,000名以上の会員様にご利用いただいております。会員の約20%が中小企業の経営者・事業責任者の方々であり、これまでに約3,000名にAI活用事例を提供してまいりました。

過去には、新富町商工会議所様にて約20名の方を対象に1時間半のAI活用セミナーを実施し、地元紙にも取り上げていただきました。

概要資料を添付しておりますので、ご確認いただき、上長や担当部署内でのご共有にお役立てください。

まずは一度30分ほどオンラインにて、共催の可能性についてご相談させてください。ご関心をお持ちいただけましたら、候補日をいくつかいただけますと幸いです。

何卒よろしくお願いいたします。

------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,八雲青年会議所,北海道 八雲町,,0137-63-2525,https://yakumojc.my.canva.site/,,https://yakumojc.my.canva.site/,B,電話,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,八雲青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）中標津青年会議所,〒086-1002 北海道標津郡中標津町東2条南2丁目1-19,,01-5372-2410,http://jc600.net/,,http://jc600.net/,B,電話,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）中標津青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）函館青年会議所,,,,http://www.hakodate-jc.com/,,https://www.jaycee.or.jp/hokkaido/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）函館青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）千歳青年会議所,〒066-0042 北海道千歳市東雲町３丁目２番地の６,,050-3588-2436,https://www.chitose-jc.com/,https://chitose-jc.com/,https://chitose-jc.com/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）千歳青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）名寄青年会議所,北海道名寄市東１条南７丁目１番地１０ 駅前交流プラザよろーな1F,,,http://nayorojc.jp/,http://nayorojc.jp/inquiry.php,http://nayorojc.jp/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）名寄青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）士別青年会議所,〒095-0022 北海道士別市西2条5丁目 士別商工会館,shibetsu.jc1957@gmail.com,0165-23-2144,https://shibetsu-jc.or.jp/,,https://shibetsu-jc.or.jp/,B,メール,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）士別青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"（一社）士別青年会議所 ご担当者様

突然のご連絡を失礼いたします。
株式会社AIスキル、法人研修事業担当の河野 邦彦と申します。

このたびは、貴青年会議所の会員様・地域の若手経営者の皆さま向けに「無料AI活用セミナー」の共催についてご相談させていただきたく、ご連絡いたしました。

弊社では、生成AI・ChatGPTの正しい活用を全国の中小企業へ広げることを目的として、地域団体様と連携した無料セミナー開催を進めております。費用のご負担なく、若手経営者への新しい学びの機会として、また地域企業支援・次世代リーダー向けの実践的コンテンツとしてご活用いただける内容です。

弊社が運営するAIスキルアカデミーは、九州工業大学 生命体工学研究科 人間知能システム工学専攻にてAI研究を行う鈴木章央先生にコンテンツを監修いただいており、現在16,000名以上の会員様にご利用いただいております。会員の約20%が中小企業の経営者・事業責任者の方々であり、これまでに約3,000名にAI活用事例を提供してまいりました。

過去には、新富町商工会議所様にて約20名の方を対象に1時間半のAI活用セミナーを実施し、地元紙にも取り上げていただきました。

概要資料を添付しておりますので、ご確認いただき、上長や担当部署内でのご共有にお役立てください。

まずは一度30分ほどオンラインにて、共催の可能性についてご相談させてください。ご関心をお持ちいただけましたら、候補日をいくつかいただけますと幸いです。

何卒よろしくお願いいたします。

------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
JC,北海道,（一社）富良野青年会議所,〒076-0031 北海道富良野市本町2番27号,,,http://www.furanojcnet.com/,,https://www.furanojcnet.com/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）富良野青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）小樽青年会議所,,,,http://www.otarujc.or.jp/,,https://www.jaycee.or.jp/hokkaido/,C,要確認,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）小樽青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,
JC,北海道,（一社）岩見沢青年会議所,〒068-0024 北海道岩見沢市4条西1丁目3-4 生涯学習センター5F,,,http://www.iwamizawa-jc.com/,https://www.iwamizawa-jc.com/join,https://www.iwamizawa-jc.com/,B,問い合わせフォーム,未送信,,,,,地域企業・若手経営者向け無料AI活用セミナー共催,,（一社）岩見沢青年会議所 ご担当者様,【無料共催のご相談】地域企業・若手経営者向けAI活用セミナーについて,"株式会社AIスキルの河野 邦彦と申します。貴青年会議所の会員・若手経営者向けに「無料AI活用セミナー」共催のご相談でご連絡いたしました。

生成AI・ChatGPTの正しい活用を中小企業へ広げることを目的として、地域団体様との共催による無料セミナー開催を進めております。九州工業大学・鈴木章央先生監修のAIスキルアカデミーは16,000名以上が利用。新富町商工会議所様での実施実績もあります。概要資料もございますので、ご関心をお持ちいただけましたら別途共有させていただきます。30分ほどオンラインにてご相談いただければ幸いです。候補日をいくつかお知らせください。
------------------------------------
株式会社AIスキル
河野 邦彦 / Kunihiko Kawano
法人研修事業担当

TEL: 070-8311-7053
Email: kunihiko.kawano@ai-skill.jp
HP: https://ai-skill.co.jp/
------------------------------------"
