"セグメント","サブカテゴリ","会社名","URL","事業概要","問い合わせ窓口","代表者","採用ページURL","営業トーク仮説"
"送り出し系","留学エージェント（総合大手）","株式会社留学ジャーナル","https://www.ryugaku.co.jp/","1971年創業のKDDIグループ傘下の老舗総合留学エージェント。短期留学から大学院留学まで取扱、累計20万人以上を海外に送り出してきた業界最大級。","https://www.ryugakujournal.com/inquiry/","代表取締役社長 横山 健一","https://www.ryugakujournal.com/recruit/","老舗ゆえブランド認知はあるが若年層への情報発信はYouTube/ブログ中心。Z世代の親世代も巻き込む共感型ショート動画でブランド再活性化＋若年リード獲得を提案するのが刺さりやすい。"
"送り出し系","留学エージェント（ワーホリ強）","株式会社ラストリゾート","https://www.lastresort.co.jp/","NOVAホールディングスグループの留学・ワーキングホリデーエージェント。全国43拠点・海外10拠点で対面相談に強く、年間多数のワーホリ希望者を送り出している。","https://www.lastresort.co.jp/contact/","代表取締役社長 堀内 勇太","https://www.lastresort.co.jp/recruit/","ワーホリは20代の人生決断、来店動機の創出が肝。実体験のストーリーテリング動画で来店予約LINE導線まで設計したRAHAの実績（POPUP1,050人動員）を引き合いに、店舗送客モデルとして提案できる。"
"送り出し系","留学エージェント（総合大手）","株式会社国際交流センター（ISS留学ライフ）","https://www.iss-ryugakulife.com/","Z会グループ（増進会ホールディングス）が運営する創立30年超の留学エージェント。28カ国1,200校と提携し、キッズ・親子から社会人まで累計10万人超を支援。","https://www.iss-ryugakulife.com/contact","代表取締役社長 石谷 雄也","https://www.iss-ryugakulife.com/recruit","Z会ブランド＝教育の堅実派、SNSでの情報発信は弱い。親子留学・キッズ留学領域は親の共感が起点なので、ママ層に刺さるストーリー動画で問い合わせ転換率を上げる提案が有効。"
"送り出し系","留学エージェント（SNS強）","株式会社ブルード（StudyIn）","https://studyin.jp/","本気留学StudyInを運営、SNS総フォロワー700万人超の若年層特化型留学エージェント。年間7,500人以上を送客、カナダ・フィリピンに支社あり。","https://studyin.jp/contact","不明（要確認）","https://studyin.jp/recruit","既にSNS活用は業界トップクラス。むしろ「次の伸び代＝採用SNS／海外現地カウンセラー採用」に絞り、RAHAのアフリカ現地採用200人応募実績を引き合いに採用支援を提案する方が刺さる。"
"送り出し系","海外大学院・MBA予備校","株式会社アゴス・ジャパン","https://www.agos.co.jp/","MBA・LLM・大学院・大学留学のテスト対策（TOEFL/IELTS/GMAT/SAT）と出願対策の専門校。25年以上の指導実績で海外トップ校への合格実績多数。","https://www.agos.co.jp/inquiry/","代表取締役 横山 匡","https://www.agos.co.jp/about/recruit/","高額講座（数十万〜数百万円）のリード獲得は信頼が鍵。合格者の体験ストーリー動画でTikTok/Insta経由の若年認知を獲得し、無料説明会への来場転換率を上げる提案が刺さる。"
"送り出し系","ワーホリエージェント","株式会社Jstyle（夢カナ留学）","https://ryugaku.yume-kana.com/","「ゼロ留学」を掲げ、現地就労で留学費用を回収するワーホリ／留学プランを提供。代表自身のサンディエゴ留学経験を起点に2016年設立、20代特化型。","https://ryugaku.yume-kana.com/contact/","代表取締役社長 安藤 和隆","https://hrmos.co/pages/jstyle","「ゼロ円留学」は説明が難解→ストーリーテリングで腹落ちさせる必要あり。ニッチ商材を共感に翻訳するRAHAの企画力が刺さる。LINE導線も既にあるため運用代行提案も親和性高い。"
"送り出し系","留学エージェント（手数料無料）","株式会社留学情報館","https://www.ryugaku-johokan.com/","2005年LA創業の手数料0円の留学エージェント。図書印刷グループ。東京・大阪・京都・LA・セブにオフィス、累計15,000人以上をサポート、海外大学進学にも強い。","https://www.ryugaku-johokan.com/contact/","代表取締役 大塚 庸平","https://www.ryugaku-johokan.com/company/recruit/","手数料0円ゆえ広告／カウンセリング数勝負＝CPA最適化が課題。実体験ベースの共感型動画でオーガニックリード増加＋大学進学(高額単価)層への保護者向け訴求を提案が刺さる。"
"送り出し系","留学エージェント（老舗）","ウィッシュインターナショナル株式会社","https://www.wish.co.jp/","1987年設立、累計10万人以上の留学者を送り出してきた老舗留学エージェント。短期留学、ワーキングホリデー、インターンシップ等を幅広く取り扱う。","https://www.wish.co.jp/company/contact/","代表取締役 山崎 朋宏","https://www.wish.co.jp/company/recruit/","老舗の信頼はあるが認知のメイン層は40代以上の保護者世代。子世代＝Z世代へのリーチをショート動画で開拓し、親子間の相談導線をLINEで作る提案が刺さる。"
"送り出し系","フィリピン留学（セブ特化）","株式会社CEBU21","https://cebu21.jp/","フィリピン留学・セブ島留学専門の老舗エージェント。Cebu English School Association公認エージェント番号A001、現地サポート体制が強み。","https://cebu21.jp/contact/","不明","なし","セブ留学＝低価格帯＝若年層が中心。学校別の留学体験を顔出しでショート動画化し、TikTokから直接LINE予約に繋ぐRAHAの導線設計が単価の低さを補う集客効率を実現できる提案として刺さる。"
"送り出し系","フィリピン留学（セブ特化）","株式会社CEBRIDGE","https://cebridge.jp/","2018年設立のフィリピン・セブ島留学特化エージェント。セブ・バギオ・クラーク等フィリピン全土に対応、1,000名以上の留学相談実績。","https://cebridge.jp/contact/","代表取締役 山岡（要詳細確認）","なし","若手創業＝SNS理解はあるが企画力と運用工数が不足しがち。ニッチな学校特化動画を共感ストーリーに翻訳し、競合エージェントとの差別化を図る提案が刺さる。"
"送り出し系","ワーホリ・留学（オーストラリア強）","株式会社Morrow World（タビケン留学）","https://tabiken-ryugaku.co.jp/","2015年創業の手数料無料留学エージェント。フィリピン・豪・加・NZ中心に累計1万件超の相談実績、福岡・セブ・シドニーに拠点。","https://tabiken-ryugaku.co.jp/contact/","代表取締役 諸澤 良幸","https://tabiken-ryugaku.co.jp/recruit/","福岡発の地方発エージェント＝広告予算は限定的。社長や現地スタッフの人柄を出した共感型動画で関係性ベースの集客モデルを作る提案がフィットしやすい。"
"送り出し系","児童・親子留学","株式会社アイエスエイ","https://www.isa.co.jp/","1970年設立、小中高生の海外研修・ホームステイ・親子留学に特化。9カ国の留学プログラムを展開し、累計60〜80万人の生徒をサポート。","https://www.isa.co.jp/contact/","代表取締役 倉橋 勝","https://www.isa.co.jp/company/recruit/","保護者の意思決定が起点＝ママのInsta動画リーチが刺さる。生徒のbefore/after成長ストーリーをショート動画化し、保護者の不安を共感で解消＋資料請求転換率向上の提案が有効。"
