id,会社名,エリア,業種,口コミ数,既存website,place_id,デモ相対パス,デモURL
k001,〔見本〕大宮外装工房,大宮東口,建築・外装,3,,,demo/k001/,
f001,〔見本〕北千住パーソナルジムStudio,北千住,フィットネス,5,,,demo/f001/,
p001,〔見本〕鶴見ドッグサロンpou,鶴見,ペット,9,,,demo/p001/,
c001,〔見本〕大宮美容クリニック,大宮東口,美容医療,4,,,demo/c001/,
h001,〔見本〕大宮ゲストハウス灯,大宮東口,宿泊,6,,,demo/h001/,
r001,〔見本〕北千住セレクト雑貨ハル,北千住,物販・雑貨,2,,,demo/r001/,
b001,〔見本〕松戸リラクサロン凪,松戸,美容・リラク,7,,,demo/b001/,
a001,〔見本〕川口ダーツ＆ボードゲームBASE,川口,アミューズメント,1,,,demo/a001/,
o001,〔見本〕鶴見グランピングパーク,鶴見,アウトドア,3,,,demo/o001/,
s001,〔見本〕蕨サウナととのい,蕨,サウナ・温浴,8,,,demo/s001/,
w001,〔見本〕西川口陶芸スタジオ土,西川口,趣味・教室,0,,,demo/w001/,
u001,〔見本〕大宮占いの間 結,大宮東口,占い・鑑定,2,,,demo/u001/,
l001,〔見本〕北千住スタジオ千住,北千住,レンタルスペース,1,,,demo/l001/,
